"Input","Query"
"öğrenciler tablosundan 74185 numaralı öğrencinin vize notlarını göster","SELECT students .No,Vize FROM students WHERE No= 74185;"
"tablolar adlı tablodaki Miktar alanına 20 ekle ve Fiyat alanını 10 olarak güncelle, WHERE koşuluyla sınırla:","UPDATE tables SET Miktar = Miktar + 20, Fiyat = 10 WHERE Id = 1;"
"çiçekler tablosundan gül kaydını sil","DELETE FROM flowers WHERE Name =’ gul';"
"şehirler tablosundaki şehir isimlerini sıralayıp nüfusları ile beraber beş şehri getir","SELECT Name,Pop FROM cities ORDER BY Name DESC LIMIT 5;"
"randevular tablosundan Aslan ahmet adlı doktora ait sadece çocuk hastaları göster","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”aslan ahmet ” AND patiens.Gender=”çocuk”"
"dersler tablosunda hangi ders 1 krediye sahiptir","SELECT * FROM lessons WHERE credit=1"
"hastalar tablosundan tüm çocuk kayıtlarını yoket","DELETE FROM patients WHERE gender= “çocuk”"
"Çiçekler tablosundan gülü papatya olarak güncelle","UPDATE flowers SET Name= ‘papatya’ WHERE Name= ‘gul'"
"çiçekler tablosundan kasımpatı kaydını sil","DELETE FROM flowers WHERE Name =’ kasimpati ';"
"kitaplar tablosunda kategorisi edebiyat olan kitapları yazdır","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=category.CatNo WHERE CtgName=""edebiyat"""
"personeller tablosundan sadece erkeklerin adreslerini göster","SELECT Address FROM employees WHERE Gender = ‘erkek’"
"tablolar adlı tablodaki Ad alanını 'John' olarak güncelle, Ad alanı 'Jane' olan kayıtlarla sınırla ve Tarih alanına '2023-06-07' ata:","UPDATE tables SET Ad = 'John', Tarih = '2023-06-07' WHERE Ad = 'Jane';"
"çalışan tablosundan meis ismini melisa olarak değiştir","UPDATE employees SET Name= “melisa” WHERE Name= “melis ”'"
"filmler tablosundan Mısır yapımlı filmlerin en kısa süreli filmi","SELECT films.Name, countries.CountryName ,MIN(Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Mısır”"
"arabalar tablosundan bmv kaydını sil","DELETE FROM cars WHERE Name =’ ‘bmw’';"
"çiçekler tablosundan papatya kaydını sil","DELETE FROM flowers WHERE Name =’ Papatya';"
"şehirler tablosundaki şehir isimlerini sıralayıp nüfusları ile beraber beş şehri getir","SELECT Name,Pop FROM cities ORDER BY Name DESC LIMIT 5;"
"kargolar tablosundan yurtiçi kargosuna ait ürünleri getir","SELECT cargoes.CargoName,orders.OrderId FROM cargoes INNER JOIN orders ON cargoes.CargoId =orders.CargoId WHERE CargoName=”Yurtiçi”"
"hastalar tablosundan kan grubu AB olan kadın hastaları listele","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB “ AND Gender =”kadın”"
"öğrenciler tablosunda kayıt yenilemeyen isimleri listele","SELECT * FROM students WHERE RenewReg= “False”"
"Çiçekler tablosundan papatyayı gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= 'papatya '"
"hastalar tablosundaki tüm çocukları sil","DELETE FROM patients WHERE gender= “çocuk”"
"Çiçekler tablosundan zambak ı gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= 'zambak '"
"şehirler tablosundaki şehir isimlerini sıraladıktan sonra nüfusları ile beraber getir","SELECT Name,Pop FROM cities ORDER BY Name DESC ;"
"tedarikçiler tablosundan kaç farklı ülke ile çalıştık","SELECT COUNT (DISTINCT Country) FROM suppliers"
"arabalar tablosundan mercedes kaydını sil","DELETE FROM cars WHERE Name =’ mercedes’';"
"çalışan tablosundan sinan ismini sina olarak değiştir","UPDATE employees SET Name= “sina” WHERE Name= “sinan”'"
"TabloAdi adlı tablodaki Durum alanını 'Onaylandı' olarak güncelle, Tarih alanı '2023-06-07' olan kayıtlarla sınırla","UPDATE tables SET Durum = 'Onaylandı' WHERE Tarih = '2023-06-07';"
"çiçekler tablosundan kaynanadili kaydını sil","DELETE FROM flowers WHERE Name =’ kaynanadili';"
"ilaçlar tablosundan fiyatı 150 lira olan calpol ilaci sil","DELETE FROM medications WHERE Name=”calpol”; AND Price=150"
"dersler tablosundan kredi sayısı 3 ün üstündeki dersleri getir","SELECT * FROM lessons WHERE credit >3"
"filmler tablosundan 2010 İran yapımı filmler hangileri","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""iran” AND FilmDate=2010"
"personeller tablosundan ekim ayında doğan kadınların listesi","SELECT * FROM employees WHERE MONTH(Date_of_Birth) = '10' AND Gender= 'kadın'"
"arabalar tablosundan megan kaydını sil","DELETE FROM cars WHERE Name =’ megane’;"
"çiçekler tablosundan kevke kaydını sil","DELETE FROM flowers WHERE Name =’ kevke';"
"şehirler tablosundaki şehir isimlerini sıraladıktan sonra nüfusları ile beraber yazdır","SELECT Name,Pop FROM cities ORDER BY Name DESC ;"
"öğretmenler tablosundan ahmet emin i yusuf akın diye güncelle","UPDATE öğretmenler SET isim = 'yusuf akın' WHERE isim = 'Ahmet emin '"
"hastalar tablosundan kan grubu 0 olan erkek hastaları alfabetik listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”0“ AND Gender =”erkek”"
"filmler tablosundan yapım yılı 1999 sonrası filmler nelerdir","SELECT * FROM Films WHERE FilmDate > 1999"
"Çiçekler tablosundan aycicegini gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= 'aycicegi '"
"öğretmenler tablosundaki ahmet emin i yusuf akın diye güncelle","UPDATE teachers SET isim = 'yusuf akın' WHERE isim = 'Ahmet emin '"
"çiçekler tablosundan kına çiçeğini sil","DELETE FROM flowers WHERE Name =’ kina cicegi';"
"personeller tablosundan ocak ayında doğan kadınların listesini getir","SELECT * FROM employees WHERE MONTH(Date_of_Birth) = '1' AND Gender= 'kadın'"
"arabalar tablosundan audi kaydını sil","DELETE FROM cars WHERE Name =’ audi’;"
"hastalar tablosundan çocukları ve kadınları sil","DELETE FROM patients WHERE gender= “çocuk” AND gender=”kadın”"
"çalışan tablosundan seda ismini sena olarak değiştir","UPDATE employees SET Name= “sena” WHERE Name= “seda”'"
"personeller tablosundan unvanı yemek olan personellerin kayıtlarını sil.","DELETE FROM employees WHERE title= 'Yemek';"
"bölümler tablosundan matematik bölümündeki toplam öğrenci sayısını yazdır","SELECT COUNT (*) FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Matematik”"
"Çiçekler tablosundan aycicegini lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'aycicegi '"
"Personeller tablosundan 30 yaşından büyük personellerin kayıtlarını sil.","DELETE FROM employees WHERE Age > 30;"
"ilaçlar tablosundan fiyatı 100 lira olan majezik ilaci sil","DELETE FROM medications WHERE Name=”majezik”; AND Price=100"
"Çiçekler tablosundan kevke yi lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'kevke '"
"kitaplar tablosunda kategorisi edebiyat olan kitapları getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=category.CatNo WHERE CtgName=""edebiyat"""
"çiçekler tablosundan koçuk kaydını sil","DELETE FROM flowers WHERE Name =’ kocuk';"
"hastalar tablosundan çocukları ve erkekleri sil","DELETE FROM patients WHERE gender= “çocuk” AND gender=”erkek”"
"personeller tablosundan oya derenin ev adresi nedir","SELECT Address FROM employees WHERE Name= ‘Oya Dere'"
"unvanlar tablosundan tıbbi sekreter isimlerini göster","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Tıbbi Sekreter"""
"arabalar tablosundan volvo kaydını sil","DELETE FROM cars WHERE Name =’ volvo’;"
"öğrenciler tablosuna en son eklenen 50 kişiyi getir","SELECT * FROM students ORDER BY No DESC LIMIT 10"
"Çiçekler tablosundan sünbül ü yi lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'sunbul '"
"Personeller tablosundan 50 yaşından büyük personellerin kayıtlarını sil.","DELETE FROM employees WHERE Age > 50;"
"çalışan tablosundan ekrem ismini kerem olarak değiştir","UPDATE employees SET Name= “kerem” WHERE Name= “ekrem”'"
"filmler tablosundan Mısır yapımı filmleri hangileri","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=""mısır”"
"çiçekler tablosundan korunga kaydını sil","DELETE FROM flowers WHERE Name =’ korunga';"
"hasta kabul tablosundan tüm kadınları doğum tarihine göre listele","SELECT * FROM patient_admission WHERE Gender= ‘kadın ’ ORDER BY birthday"
"hastalar tablosundaki kan grubu A olan hastaları getir","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “"
"Çiçekler tablosundan kevke yi lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'kevke '"
"Çiçekler tablosundan nergisi i gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= ‘nergis’;"
"Çiçekler tablosundan erkekolya yi lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'lale '"
"filmler tablosundan İran yapımlı filmlerin en uzun süreli filmi hangisidir","SELECT films.Name, countries.CountryName,MAX(Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”İran”"
"hastalar tablosundan erkekleri ve kadınları sil","DELETE FROM patients WHERE gender= “erkek” AND gender=”kadın”"
"Çiçekler tablosundan gül ü lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'gul '"
"ilaçlar tablosundan fiyatı 300 lira olan majezik ilaci sil","DELETE FROM medications WHERE Name=”majezik”; AND Price=300"
"arabalar tablosundan opel kaydını sil","DELETE FROM cars WHERE Name =’ opel’;"
"çiçekler tablosundan kuskonmaz kaydını sil","DELETE FROM flowers WHERE Name =’ kuskonmaz';"
"çalışan tablosundan eylül ü eylem olarak değiştir","UPDATE employees SET Name= “eylem” WHERE Name= “eylul”'"
"öğrenciler tablosuna en son eklenen 40 erkek öğrenciyi numaralarına göre listele","SELECT * FROM students ORDER BY No DESC LIMIT 40"
"Personeller tablosundan 60 yaşından büyük personellerin kayıtlarını sil.","DELETE FROM employees WHERE Age > 60;"
"filmler tablosundan yapım yılı 2022 sonrası filmler hangileri","SELECT * FROM Films WHERE FilmDate > 2022"
"bölümler tablosundaki adresleri getir","SELECT Address , Name FROM programs"
"Çiçekler tablosundan aycicegini sünbül olarak güncelle","UPDATE flowers SET Name= 'sunbul' WHERE Name= 'aycicegi '"
"kitaplar tablosunda can yayınlarına ait kitap isimlerini alfabetik sıraya göre diz","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN pubHouse ON books.PubNo=pubHouse.PubNo WHERE PubName=""can Yayınları"" ORDER BY Books_Name ASC"
"hastalar tablosundan kan grubu A olan kadın hastaları alfabetik listele","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A“ AND Gender=”kadın” ORDER BY patients.Name"
"hastalar tablosundan erkekleri ve çocukları sil","DELETE FROM patients WHERE gender= “erkek” AND gender=”çocuk”"
"çiçekler tablosundan leylak kaydını sil","DELETE FROM flowers WHERE Name =’ leylak';"
"Çiçekler tablosundan nane yi lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= 'nane '"
"öğretmenler tablosundan hasan astar i hasan akar diye güncelle","UPDATE öğretmenler SET isim = 'hasan akar' WHERE isim = 'hasan astar '"
"ilaçlar tablosundan ismi majezik olan ilaci sil","DELETE FROM medications WHERE Name=”majezik”;"
"filmler tablosundan uzunluğu en fazla olan film ismi nedir","SELECT MAX(Duration) FROM Films;"
"kırtasiye tablosundan defteri kağıt olarak degistir","UPDATE stationery SET Name= “kagıt” WHERE Name= “defter”"
"çiçekler tablosundan erkekolya kaydını sil","DELETE FROM flowers WHERE Name =’ erkekolya';"
"arabalar tablosundan honda kaydını sil","DELETE FROM cars WHERE Name =’ honda’;"
"hastalar tablosundan tüm kayıtları sil","DELETE FROM patients"
"Çiçekler tablosundan reyhan ı gül olarak degistir","UPDATE flowers SET Name= 'gul' WHERE Name= ‘reyhan’'"
"öğretmenler tablosundan orhan baren i yasin taş diye değiştir","UPDATE teachers SET isim = 'yasin taş' WHERE isim = 'orhan baren '"
"kitaplar tablosunda kategorisi akademik olan kitapları getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""akademik"""
"çalışanlar tablosundan 30 yaşından büyük personellerin kayıtlarını sil.","DELETE FROM employees WHERE Age > 30;"
"Çiçekler tablosundan susen i lale olarak güncelle","UPDATE flowers SET Name= 'lale' WHERE Name= ‘susen'"
"unvanlar tablosundan temizlikçi personellerini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"""
"ilaçlar tablosundan ismi parol ilacinı sil","DELETE FROM medications WHERE Name=”parol”;"
"arabalar tablosundan seat kaydını sil","DELETE FROM cars WHERE Name =’ seat’;"
"Çiçekler tablosundan reyhan ı lale olarak degistir","UPDATE flowers SET Name= 'lale ' WHERE Name= ‘reyhan’'"
"unvanlar tablosundan uzerkek doktorların isimlerini işe giriş tarihine göre sırala","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" ORDER BY Entry_Date"
"unvanlar tablosundan tüm kayıtları sil","DELETE FROM titles"
"hastalar tablosundaki kan grubu 0 olan hastaları yaşlarına göre sırala","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”0“ ORDER BY Age"
"çiçekler tablosundan meyan kaydını sil","DELETE FROM flowers WHERE Name =’ meyan ';"
"arabalar tablosundan mazda kaydını sil","DELETE FROM cars WHERE Name =’ mazda’;"
"tedarikçiler tablosundan kaç çeşit ülkeden tedarikçi ile çalıştık","SELECT COUNT (DISTINCT Country) FROM suppliers"
"Çiçekler tablosundan reyhan ı meyan olarak degistir","UPDATE flowers SET Name= ‘meyan' WHERE Name= ‘reyhan’'"
"filmler tablosundan uzunluğu 120 dakikadan fazla olanları getir","SELECT *FROM films WHERE Duration >120"
"müşteriler tablosundaki sadece Türkiye de yaşayan tüm müşterileri yazdır","SELECT * FROM customers WHERE Country=""Turkiye"""
"Çiçekler tablosundan nergis i semen olarak degistir","UPDATE flowers SET Name= 'semen' WHERE Name= ‘nergis’'"
"ilaçlar tablosundan ismi termoflex olan ilaci sil","DELETE FROM medications WHERE Name=”thermoflex”;"
"kitaplar tablosundan tüm kayıtları sil","DELETE FROM books"
"kırtasiye tablosundan kalemi boya kalemi olarak degistir","UPDATE stationery SET Name= “boya kalemi” WHERE Name= “kalem”"
"çiçekler tablosundan mimoza kaydını sil","DELETE FROM flowers WHERE Name =’ nergis ';"
"arabalar tablosundan toyota kaydını sil","DELETE FROM cars WHERE Name =’ toyota’;"
"personeller tablosundan sadece erkeklerin adreslerini yazdır","SELECT Address FROM employees WHERE Gender = ‘erkek’"
"randevular tablosundan Hasan Atak adlı doktora ait hastaların listesini göster","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”hasan atak”"
"Çiçekler tablosundan reyhan ı semen olarak degistir","UPDATE flowers SET Name= 'semen' WHERE Name= ‘reyhan’'"
"öğrenciler tablosundaki toplam kız öğrenci sayısı","SELECT COUNT (*) FROM students WHERE Gender= “kadın”"
"Çiçekler tablosundan semeni i negis olarak degistir","UPDATE flowers SET Name= 'nergis' WHERE Name= ‘semen’'"
"çiçekler tablosundan nane kaydını sil","DELETE FROM flowers WHERE Name =’ nane';"
"personeller tablosundan sadece erkeklerin ev adreslerini göster","SELECT Address FROM employees WHERE Gender = ‘erkek’"
